#10000,100,,,,,,,,,,,,,,,,,,,
Index,AccelX_H,AccelX_L,AccelY_H,AccelY_L,AccelZ_H,AccelZ_L,GyroX_H,GyroX_L,GyroY_H,GyroY_L,GyroZ_H,GyroZ_L,MagX_H,MagX_L,MagY_H,MagY_L,MagZ_H,MagZ_L,Temp_H,Temp_L
0,FF,D2,FF,C5,8,6,FF,F5,0,0,0,1,0,0,0,0,0,0,D,A0
1,FF,D9,FF,BE,7,FA,FF,F5,0,0,0,8,0,0,0,0,0,0,D,A0
2,FF,D6,FF,B0,7,FD,FF,EE,0,1,0,D,0,0,0,0,0,0,D,D0
3,FF,D9,FF,B8,7,F2,FF,F7,0,0,0,9,0,0,0,0,0,0,D,A0
4,FF,67,FF,9C,8,1,FF,DD,0,D,FF,FB,0,0,0,0,0,0,D,70
5,0,31,FF,CB,8,D,0,20,0,D,FF,B,0,0,0,0,0,0,D,A0
6,FF,D2,FF,B9,8,7,0,19,0,8,0,B,0,0,0,0,0,0,D,D0
7,FF,E0,FF,A4,8,D,0,7,0,24,0,40,0,0,0,0,0,0,D,C0
8,FF,AA,FF,B9,8,D,0,1,0,57,0,3F,0,0,0,0,0,0,D,90
9,FF,7E,FF,AB,8,3,0,2F,0,7B,FF,E2,0,0,0,0,0,0,D,90
10,0,11,FF,D3,7,FF,0,42,0,8D,0,35,0,0,0,0,0,0,D,60
11,FF,A1,FF,CF,8,F,0,41,0,92,0,51,0,0,0,0,0,0,E,0
12,FF,51,FF,FA,8,A,0,79,0,EE,0,D4,0,0,0,0,0,0,D,50
13,FF,B9,FF,97,8,19,0,84,0,EA,1,6A,0,0,0,0,0,0,D,D0
14,FF,ED,FF,E1,8,64,0,9A,1,1B,1,5B,0,0,0,0,0,0,D,90
15,FF,BF,0,1E,8,40,0,32,1,DC,1,35,0,0,0,0,0,0,D,A0
16,FF,68,0,42,8,1D,0,C,2,91,2,3B,0,0,0,0,0,0,D,C0
17,FF,F,FF,4F,8,EC,0,57,2,1C,2,66,0,0,0,0,0,0,D,A0
18,FF,31,FF,B8,A,34,0,E3,FF,5D,1,60,0,0,0,0,0,0,D,70
19,FF,6E,FF,6B,9,8A,1,CF,FD,39,0,D9,0,0,0,0,0,0,D,A0
20,FF,5B,FF,DA,8,28,2,DC,FD,85,FF,DF,0,0,0,0,0,0,D,E0
21,FF,5E,0,3D,7,7A,2,85,FE,43,0,1,0,0,0,0,0,0,D,E0
22,FF,BF,0,71,7,C2,2,A7,FE,AB,0,14,0,0,0,0,0,0,E,0
23,FF,DE,0,DE,7,C6,3,A4,FF,5F,0,38,0,0,0,0,0,0,D,70
24,FF,E4,1,7,8,F8,3,E6,FF,9A,0,82,0,0,0,0,0,0,D,D0
25,FF,2F,FD,EF,8,E2,3,FD,FE,A1,0,B7,0,0,0,0,0,0,D,50
26,0,34,1,6E,8,4D,4,BE,FE,9,FF,52,0,0,0,0,0,0,D,70
27,FF,CB,0,72,7,C3,2,CC,FD,E6,0,1E,0,0,0,0,0,0,E,0
28,0,F,0,FE,7,A5,3,2A,FD,DA,0,A,0,0,0,0,0,0,D,C0
29,0,12,1,51,7,D0,3,72,FE,46,0,50,0,0,0,0,0,0,D,A0
30,0,26,1,2F,8,19,3,B9,FE,40,0,49,0,0,0,0,0,0,D,A0
31,0,1D,1,9B,7,D2,4,91,FE,18,0,1,0,0,0,0,0,0,D,E0
32,0,2F,2,53,7,A0,6,10,FE,5A,0,25,0,0,0,0,0,0,D,60
33,0,3A,2,C9,7,F3,6,8A,FE,80,0,8D,0,0,0,0,0,0,D,A0
34,0,37,2,8B,7,FF,8,A,FE,83,1,22,0,0,0,0,0,0,D,90
35,0,95,2,8C,7,FA,9,4E,FD,F0,1,45,0,0,0,0,0,0,D,A0
36,0,6E,2,9E,7,8F,9,3F,FD,7F,1,4A,0,0,0,0,0,0,D,C0
37,0,81,3,63,6,EA,7,EF,FD,68,1,4E,0,0,0,0,0,0,E,0
38,0,A7,4,B,6,A7,7,3A,FD,98,1,3C,0,0,0,0,0,0,D,60
39,0,DC,3,E1,6,CB,5,EA,FD,C2,1,3E,0,0,0,0,0,0,D,E0
40,1,5D,4,42,6,99,4,62,FD,16,1,31,0,0,0,0,0,0,D,70
41,1,1A,4,B8,6,E4,3,92,FC,ED,1,FC,0,0,0,0,0,0,D,70
42,0,CA,4,B2,6,D7,3,A8,FC,50,2,65,0,0,0,0,0,0,D,A0
43,1,73,3,EA,5,6F,3,30,FC,62,2,14,0,0,0,0,0,0,D,C0
44,1,C3,4,6D,5,D8,2,7A,FC,DB,1,EC,0,0,0,0,0,0,E,10
45,1,D0,4,C3,6,70,0,D5,FD,37,2,1D,0,0,0,0,0,0,D,A0
46,1,F5,4,36,5,A7,FF,C8,FC,A5,2,4D,0,0,0,0,0,0,D,90
47,2,F,5,30,5,93,FF,35,FD,29,2,3C,0,0,0,0,0,0,D,D0
48,2,26,5,D3,6,94,FE,88,FD,CB,2,C8,0,0,0,0,0,0,D,C0
49,2,13,4,1,6,3A,FE,2E,FD,2B,3,8B,0,0,0,0,0,0,D,D0
50,2,8C,3,E0,5,25,FD,66,FC,E3,3,63,0,0,0,0,0,0,D,D0
51,2,D4,4,44,5,37,FB,9E,FD,E6,3,6E,0,0,0,0,0,0,D,A0
52,2,E0,4,1,6,22,F9,61,FE,76,3,DF,0,0,0,0,0,0,D,70
53,3,E,3,B8,6,FE,F8,B9,FE,30,4,3,0,0,0,0,0,0,D,A0
